,adWord,appShow,approve,businessZones,city,companyFullName,companyId,companyLabelList,companyLogo,companyShortName,companySize,createTime,deliver,district,education,explain,financeStage,firstType,formatCreateTime,gradeDescription,hitags,imState,industryField,industryLables,isSchoolJob,jobNature,lastLogin,latitude,linestaion,longitude,pcShow,plus,positionAdvantage,positionId,positionLables,positionName,promotionScoreExplain,publisherId,resumeProcessDay,resumeProcessRate,salary,score,secondType,skillLables,stationname,subwayline,thirdType,workYear
0,0,0,1,"['古墩路', '古墩路', '三墩']",杭州,杭州溜达网络科技有限公司,436941,"['带薪年假', '午餐补助', '股票期权', '弹性工作']",i/image2/M01/7D/19/CgotOVt1PeOAbHgOAAATRpJwuPs803.png,光年实验室,15-50人,2018-10-17 17:38:16,0,西湖区,本科,,天使轮,开发|测试|运维类,17:38发布,,,today,移动互联网,[],0,全职,1539772949000,30.308363,,120.094408,0,,"14薪,快速发展,带薪年假,周末双休",5015227,['数据分析'],爬虫工程师,,304052,1,96,10k-15k,0,数据开发,['数据分析'],,,爬虫,1-3年
1,0,0,1,['西溪'],杭州,杭州信牛网络科技有限公司,87100,"['绩效奖金', '股票期权', '定期体检', '弹性工作']",image1/M00/41/DD/Cgo8PFXJtdKATVMrAAAnw-k3KhY169.png,信用管家,150-500人,2018-10-17 13:54:00,0,西湖区,本科,,不需要融资,开发|测试|运维类,13:54发布,,,today,"移动互联网,金融",[],0,全职,1539756009000,30.2916,,120.069706,0,,"弹性时间,扁平化管理,下午茶团建,美女如云",3001728,['Java'],爬虫开发工程师,,1608111,2,100,15k-25k,0,企业软件,['Java'],,,其它企业软件,3-5年
2,0,0,1,['三墩'],杭州,浙江创邻科技有限公司,173492,"['年底双薪', '扁平管理', '五险一金', '弹性工作']",i/image/M00/A6/B0/CgqKkVitKL6AOPT0AAExxpsH8Yk402.png,创邻科技,15-50人,2018-10-17 17:45:18,0,西湖区,不限,,A轮,开发|测试|运维类,17:45发布,,,today,"企业服务,数据服务","['大数据', 'Hadoop']",0,全职,1539770550000,30.317014,,120.074431,0,,"自主性强,灵活工作时",2832784,"['大数据', 'Hadoop']",爬虫工程师,,6168055,1,100,8k-15k,0,数据开发,['Hadoop'],,,爬虫,1-3年
3,0,0,1,,杭州,上海天壤智能科技有限公司,240153,"['年底双薪', '带薪年假', '午餐补助', '定期体检']",i/image2/M01/58/34/CgoB5lshxwWAUC8MAAtCY_zpUd4572.png,天壤智能,50-150人,2018-10-12 09:41:34,0,西湖区,本科,,A轮,开发|测试|运维类,2018-10-12,,,today,"移动互联网,企业服务","['电商', '广告营销', '数据库开发', '数据挖掘']",0,全职,1539748536000,30.288679,,120.074832,0,,"五险一金,扁平管理,年底双薪,午餐补贴",4056747,"['电商', '广告营销', '数据库开发', '数据挖掘']",爬虫工程师,,7803860,1,70,15k-30k,0,数据开发,"['数据库开发', '数据挖掘']",,,爬虫,3-5年
4,0,0,1,['仓前'],杭州,杭州介子网络有限公司,180027,"['团队氛围好', '升职加薪快', '资讯大平台', '团建活动多']",i/image/M00/6E/0B/CgpEMlmvm3CAUHKoAAAukrz7JJk171.jpg,介子网络,15-50人,2018-10-08 11:10:23,0,余杭区,不限,,天使轮,开发|测试|运维类,2018-10-08,,,disabled,"移动互联网,社交网络",[],0,全职,1539769644000,30.283247,,120.009679,0,,"社交项目,资讯项目,五险一金,双休",3589220,['Python'],爬虫工程师,,7382295,2,22,10k-20k,0,后端开发,['Python'],,,Java,3-5年
5,0,0,1,['西溪'],杭州,杭州艾耕科技有限公司,162148,"['股票期权', '弹性工作', '领导好', '帅哥多']",i/image/M00/67/67/CgpEMlmfu8KAR5pfAAAX3TM9GK8785.png,Eigen,50-150人,2018-10-17 19:44:15,0,西湖区,本科,,A轮,开发|测试|运维类,19:44发布,,,today,"移动互联网,数据服务",[],0,全职,1539777838000,30.288679,,120.074832,0,,"AI,技术为核心,技术大牛,氛围nic",4711429,"['Java', 'Python']",高级爬虫开发,,7315961,1,31,15k-25k,0,后端开发,"['Java', 'Python']",,,Java,3-5年
6,0,0,1,"['西兴', '长河']",杭州,武汉然诺管理咨询有限公司,222172,"['年底双薪', '专项奖金', '年终分红', '交通补助']",i/image3/M00/45/44/Cgq2xlq9rZOAUPCxAAFdq15Mpnw991.png,RulerTech然诺,15-50人,2018-10-16 16:25:55,0,滨江区,本科,,天使轮,开发|测试|运维类,1天前发布,,"['一对一带教', '免费健身房', '公司氛围好', '5险1金']",today,"移动互联网,企业服务","['互联网金融', 'Java', '算法', '数据架构', '数据分析']",0,全职,1539764728000,30.190793,1号线(下沙江滨)_滨康路;1号线(下沙江滨)_西兴;1号线(下沙江滨)_滨和路;1号线(临平)_滨康路;1号线(临平)_西兴;1号线(临平)_滨和路,120.222586,0,,"平台开放,报酬丰厚,团队大牛,研发激情",5020828,"['互联网金融', 'Java', '算法', '数据架构', '数据分析']",资深爬虫工程师,,9374638,1,35,30k-50k,0,数据开发,"['Java', '算法', '数据架构', '数据分析']",滨康路,1号线(下沙江滨),爬虫,5-10年
7,0,0,1,['西溪'],杭州,上海切近信息科技有限公司,331969,"['带薪年假', '股票期权', 'Mac办公', '同事活泼有爱']",i/image2/M01/6D/C3/CgotOVtRTVuAUNVvAAB44uQV3YA281.jpg,贴近Closer,50-150人,2018-10-17 19:11:18,0,西湖区,本科,,不需要融资,开发|测试|运维类,19:11发布,,"['试用期上社保', '试用期上公积金', '免费体检', '试用享转正工资', '6险1金', '品牌优势']",today,移动互联网 文化娱乐,['移动互联网'],0,全职,1539784554000,30.287074,,120.075623,0,,"技术团队牛,试用期全额,Mac办公",4920891,['移动互联网'],爬虫工程师,,7598159,0,1,20k-40k,0,数据开发,[],,,爬虫,3-5年
8,0,0,1,,杭州,杭州费尔斯通科技有限公司,88499,"['股票期权', '弹性工作', '扁平管理', 'HSMAP']",i/image2/M00/4E/3B/CgoB5lsE3J-AeaS3AAAULVin-nI413.jpg,火石创造,50-150人,2018-10-17 09:28:54,0,滨江区,本科,,A轮,开发|测试|运维类,09:28发布,,,today,医疗健康,[],0,全职,1539764250000,29.993662,,119.993591,0,,"数据抓取,网络爬虫",3222885,"['Java', 'Python', '算法']",爬虫工程师,,3599601,2,10,12k-24k,0,后端开发,"['Java', 'Python', '算法']",,,Java,3-5年
9,0,0,1,"['长河', '江南']",杭州,广州博冠信息科技有限公司,22790,"['绩效奖金', '年终分红', '专项奖金', '年底双薪']",image1/M00/00/2C/CgYXBlTUXHKAdr5dAABchl5-hbQ418.jpg,网易游戏,2000人以上,2018-10-17 10:48:47,0,滨江区,本科,,上市公司,开发|测试|运维类,10:48发布,,,disabled,游戏,"['大数据', 'Java', '数据分析']",1,实习,1539769787000,29.993662,,119.993591,0,,"大平台,包三餐,氛围好,双休",4729771,"['大数据', 'Java', '数据分析']",爬虫工程师（实习生）,,353889,0,0,3k-4k,0,数据开发,"['Java', '数据分析']",,,数据分析,不限
10,0,0,1,"['西溪', '古荡', '西湖']",杭州,杭州趣维科技有限公司,26517,"['带薪年假', '股票期权', '绩效奖金', '弹性工作']",i/image2/M00/2D/98/CgotOVox6x-ATRQ0AAA0sEihhaA484.png,小影APP,150-500人,2018-10-16 17:32:13,0,西湖区,本科,,B轮,开发|测试|运维类,1天前发布,,,disabled,"移动互联网,文化娱乐",[],0,全职,1539772314000,30.272873,2号线_学院路;2号线_古翠路,120.123836,0,,"国际用户,结果导向,弹性工作,成长空间",4359548,"['Java', 'Python']",爬虫开发工程师,,327303,1,76,10k-20k,0,后端开发,"['Java', 'Python']",古翠路,2号线,Java,1-3年
11,0,0,1,['西溪'],杭州,杭州搜影科技有限公司,50106,"['技能培训', '带薪年假', '绩效奖金', '年度旅游']",image1/M00/00/83/Cgo8PFTUXd-AcMDBAAAOehrxB8g791.png,杭州搜影科技有限公司,50-150人,2018-10-10 09:07:52,0,西湖区,本科,,不需要融资,开发|测试|运维类,2018-10-10,,,disabled,"移动互联网,游戏",[],0,全职,1539741594000,30.290131,,120.066566,0,,"五险一金,员工旅游,丰厚年终奖,餐饮补贴",5135813,['数据处理'],爬虫工程师,,8203288,0,0,15k-25k,0,数据开发,['数据处理'],,,爬虫,3-5年
12,0,0,1,"['江南', '近江']",杭州,杭州安恒信息技术股份有限公司,6462,"['年终分红', '股票期权', '绩效奖金', '五险一金']",i/image2/M01/78/2F/CgotOVtqWLGAOzEuAABR3noDHEo923.jpg,安恒信息,500-2000人,2018-10-17 17:55:17,0,滨江区,本科,,D轮及以上,开发|测试|运维类,17:55发布,,"['电脑补贴', '免费体检', '地铁周边', '6险1金']",today,"信息安全 ,数据服务",[],0,全职,1539770108000,30.209525,1号线(下沙江滨)_滨和路;1号线(下沙江滨)_江陵路;1号线(临平)_滨和路;1号线(临平)_江陵路,120.21425,0,,"五险一金,带薪年假,节假日福利,国内外旅游",2860663,[],爬虫开发工程师,,6557608,1,100,15k-30k,0,后端开发,[],江陵路,1号线(下沙江滨),Java,3-5年
13,0,0,1,"['文三路', '古荡', '高新文教区']",杭州,浙江一片林网络科技有限公司,94062,"['专项奖金', '绩效奖金', '岗位晋升', '年度旅游']",image2/M00/04/BB/CgpzWlXyxK-AbHDCAAAUStrPn2M199.jpg?cc=0.3093457277864218,一片林网络,50-150人,2018-10-14 16:22:21,0,西湖区,本科,,未融资,开发|测试|运维类,3天前发布,,,sevenDays,"移动互联网,电子商务",[],0,全职,1539505301000,29.993662,,119.993591,0,,"五险一金,双休,团队年轻,发展快",4662266,"['Java', '数据挖掘']",爬虫工程师,,2479217,0,0,4k-8k,0,数据开发,"['Java', '数据挖掘']",,,数据挖掘,不限
14,0,0,1,['西溪'],杭州,杭州微财网络科技有限公司,152161,"['领导好', '扁平管理', '五险一金', '专项奖金']",i/image3/M00/51/53/Cgq2xlr9H9uAWvM4AABEjVZ0G28881.jpg,微财网络,150-500人,2018-10-09 10:49:01,0,西湖区,大专,,A轮,开发|测试|运维类,2018-10-09,,,today,"企业服务,电子商务",[],0,全职,1539757723000,30.285487,,120.067429,0,,"福利好,待遇佳,晋升快,双休",5112048,"['爬虫架构', '网络爬虫']",爬虫工程师,,6324244,1,100,15k-30k,0,后端开发,"['爬虫架构', '网络爬虫']",,,Java,3-5年
